show_id,zone,house_type,area_sqft,bedrooms,bathrooms,building_age,road_width_m,distance_to_center_km,has_garden,has_parking,furnished,date_listed,year_listed,price_npr,price_per_sqft,nearest_landmark,description
H00001,Itahari-10,Bungalow,1533,5,5,5,12.1,2.47,0,0,Furnished,2016-06-21,2016,28042775,18292,G.P. Chowk,"Spacious Bungalow with 5 bedrooms and 5 bathrooms, nearby G.P. Chowk."
H00002,Itahari-2,RCC,787,1,1,10,4.9,4.28,0,1,Unfurnished,2024-04-22,2024,18489364,23493,G.P. Chowk,"Well-connected property in Itahari-2, 787 sqft, 10 years old. Ideal for families."
H00003,Itahari-12,Duplex,1531,5,5,19,9.3,3.55,1,1,Unfurnished,2023-05-20,2023,34779693,22716,Bhairahawa Road,"Spacious Duplex with 5 bedrooms and 5 bathrooms, nearby Bhairahawa Road."
H00004,Itahari-9,Flat,275,2,2,1,5.5,5.36,1,0,Unfurnished,2018-06-27,2018,3997040,14534,G.P. Chowk,"Spacious Flat with 2 bedrooms and 2 bathrooms, nearby G.P. Chowk."
H00005,Itahari-16,Flat,2127,5,4,21,4.5,3.35,0,1,Unfurnished,2022-04-21,2022,22354943,10510,G.P. Chowk,"Well-connected property in Itahari-16, 2127 sqft, 21 years old. Ideal for families."
H00006,Itahari-13,Bungalow,1364,2,2,19,5.9,4.21,0,1,Unfurnished,2024-06-15,2024,36476225,26742,Bhairahawa Road,"Well-connected property in Itahari-13, 1364 sqft, 19 years old. Ideal for families."
H00007,Itahari-10,Villa,1949,5,4,14,14.8,1.78,1,1,Semi-Furnished,2017-04-29,2017,40808413,20938,Sukrabare,"Spacious Villa with 5 bedrooms and 4 bathrooms, nearby Sukrabare."
H00008,Itahari-5,RCC,856,3,2,5,9.5,6.31,1,1,Unfurnished,2019-06-20,2019,7951270,9288,Itahari Buspark,RCC located near main road with easy access to amenities and schools.
H00009,Itahari-17,Duplex,1135,2,1,11,5.2,7.45,0,1,Unfurnished,2019-08-12,2019,11030407,9718,Shohini Chowk,"Modern Duplex with parking and garden, excellent investment for Itahari locals."
H00010,Itahari-2,RCC,872,1,1,12,8.4,4.36,0,1,Semi-Furnished,2025-06-01,2025,22076657,25317,Bhairahawa Road,"Spacious RCC with 1 bedrooms and 1 bathrooms, nearby Bhairahawa Road."
H00011,Itahari-1,Flat,2149,6,6,12,11.8,4.61,0,1,Unfurnished,2019-12-23,2019,26274864,12226,Sukrabare,Flat located near main road with easy access to amenities and schools.
H00012,Itahari-9,Flat,1890,5,5,15,2.7,3.96,0,1,Semi-Furnished,2018-09-19,2018,22119129,11703,Shohini Chowk,"Well-connected property in Itahari-9, 1890 sqft, 15 years old. Ideal for families."
H00013,Itahari-14,Flat,2030,4,4,22,3.0,2.73,0,1,Semi-Furnished,2013-05-03,2013,14730668,7256,Bhairahawa Road,Flat located near main road with easy access to amenities and schools.
H00014,Itahari-19,RCC,1724,4,2,0,5.1,5.15,1,1,Unfurnished,2012-08-17,2012,15407070,8936,Sukrabare,"Modern RCC with parking and garden, excellent investment for Itahari locals."
H00015,Itahari-3,RCC,330,1,1,10,11.9,4.18,0,1,Furnished,2013-02-13,2013,3590273,10879,Itahari Buspark,"Modern RCC with parking and garden, excellent investment for Itahari locals."
H00016,Itahari-3,Bungalow,1826,5,4,12,9.4,6.28,0,1,Unfurnished,2018-09-11,2018,32855310,17993,Shohini Chowk,"Well-connected property in Itahari-3, 1826 sqft, 12 years old. Ideal for families."
H00017,Itahari-3,Flat,960,3,2,13,6.3,5.77,0,1,Furnished,2013-03-12,2013,8920644,9292,Sukrabare,"Spacious Flat with 3 bedrooms and 2 bathrooms, nearby Sukrabare."
H00018,Itahari-17,Bungalow,1117,2,1,20,9.6,4.86,0,0,Unfurnished,2021-05-05,2021,13280566,11889,Shohini Chowk,"Well-connected property in Itahari-17, 1117 sqft, 20 years old. Ideal for families."
H00019,Itahari-10,Flat,1003,3,2,18,15.3,5.23,0,0,Unfurnished,2017-10-20,2017,12585886,12548,Itahari Buspark,"Modern Flat with parking and garden, excellent investment for Itahari locals."
H00020,Itahari-13,Flat,2673,8,6,20,15.6,2.08,0,0,Unfurnished,2023-12-23,2023,67521697,25260,Bhairahawa Road,"Spacious Flat with 8 bedrooms and 6 bathrooms, nearby Bhairahawa Road."
H00021,Itahari-5,Flat,2326,6,6,22,15.0,8.2,1,1,Unfurnished,2017-10-10,2017,16340800,7025,Bhairahawa Road,"Modern Flat with parking and garden, excellent investment for Itahari locals."
H00022,Itahari-12,Flat,1031,4,3,28,7.6,4.39,0,1,Unfurnished,2021-03-31,2021,16180223,15693,Itahari Buspark,"Well-connected property in Itahari-12, 1031 sqft, 28 years old. Ideal for families."
H00023,Itahari-8,Flat,725,3,2,22,9.2,2.11,0,1,Semi-Furnished,2019-03-03,2019,12964743,17882,Shohini Chowk,"Spacious Flat with 3 bedrooms and 2 bathrooms, nearby Shohini Chowk."
H00024,Itahari-3,Duplex,327,2,2,2,10.1,5.64,0,1,Semi-Furnished,2017-12-24,2017,6075261,18578,Shohini Chowk,Duplex located near main road with easy access to amenities and schools.
H00025,Itahari-19,Flat,1237,3,2,7,7.0,5.63,0,1,Unfurnished,2018-01-17,2018,13250963,10712,Shohini Chowk,"Well-connected property in Itahari-19, 1237 sqft, 7 years old. Ideal for families."
H00026,Itahari-7,Duplex,2488,7,7,15,12.3,6.22,0,0,Semi-Furnished,2025-02-03,2025,31616430,12707,Shohini Chowk,"Spacious Duplex with 7 bedrooms and 7 bathrooms, nearby Shohini Chowk."
H00027,Itahari-5,Bungalow,2036,5,5,13,2.7,6.22,0,1,Unfurnished,2021-06-18,2021,16877960,8289,Sukrabare,"Spacious Bungalow with 5 bedrooms and 5 bathrooms, nearby Sukrabare."
H00028,Itahari-13,Flat,2354,5,4,15,12.4,5.77,0,1,Unfurnished,2012-04-03,2012,22838528,9702,G.P. Chowk,"Modern Flat with parking and garden, excellent investment for Itahari locals."
H00029,Itahari-13,Duplex,1534,3,3,12,4.8,3.93,0,1,Unfurnished,2019-10-25,2019,34203121,22296,Itahari Buspark,Duplex located near main road with easy access to amenities and schools.
H00030,Itahari-12,Duplex,1314,2,2,7,14.9,0.79,0,1,Unfurnished,2021-04-29,2021,36586097,27843,Itahari Buspark,"Spacious Duplex with 2 bedrooms and 2 bathrooms, nearby Itahari Buspark."
H00031,Itahari-1,Flat,491,1,1,17,5.4,6.45,0,1,Furnished,2023-08-13,2023,5128987,10446,Itahari Buspark,"Well-connected property in Itahari-1, 491 sqft, 17 years old. Ideal for families."
H00032,Itahari-15,Bungalow,372,1,1,22,2.9,5.98,0,1,Unfurnished,2022-08-19,2022,4186894,11255,Shohini Chowk,"Well-connected property in Itahari-15, 372 sqft, 22 years old. Ideal for families."
H00033,Itahari-3,Flat,1130,3,2,16,3.1,4.53,0,1,Semi-Furnished,2019-05-13,2019,12046130,10660,Sukrabare,Flat located near main road with easy access to amenities and schools.
H00034,Itahari-18,Villa,2636,7,6,26,11.7,8.58,0,1,Semi-Furnished,2015-10-24,2015,25852841,9807,Bhairahawa Road,"Well-connected property in Itahari-18, 2636 sqft, 26 years old. Ideal for families."
H00035,Itahari-6,RCC,1894,6,5,28,4.1,0.84,1,1,Semi-Furnished,2015-10-30,2015,13880250,7328,Bhairahawa Road,"Modern RCC with parking and garden, excellent investment for Itahari locals."
H00036,Itahari-5,Duplex,292,2,2,11,13.2,1.3,0,1,Unfurnished,2018-01-26,2018,3587764,12286,Sukrabare,Duplex located near main road with easy access to amenities and schools.
H00037,Itahari-18,RCC,1770,4,4,7,14.9,1.43,0,1,Unfurnished,2016-04-15,2016,30177655,17049,Sukrabare,RCC located near main road with easy access to amenities and schools.
H00038,Itahari-16,Bungalow,1911,4,3,7,5.7,1.04,0,1,Unfurnished,2019-01-01,2019,23569097,12333,Sukrabare,"Modern Bungalow with parking and garden, excellent investment for Itahari locals."
H00039,Itahari-19,RCC,1417,5,5,19,4.8,1.41,0,1,Unfurnished,2011-12-15,2011,11946341,8430,G.P. Chowk,"Well-connected property in Itahari-19, 1417 sqft, 19 years old. Ideal for families."
H00040,Itahari-12,Bungalow,1190,3,2,4,11.6,3.49,0,1,Semi-Furnished,2016-10-08,2016,26531427,22295,G.P. Chowk,Bungalow located near main road with easy access to amenities and schools.
H00041,Itahari-13,Flat,1030,3,2,1,8.7,4.87,1,0,Unfurnished,2021-06-02,2021,21875836,21238,Itahari Buspark,"Well-connected property in Itahari-13, 1030 sqft, 1 years old. Ideal for families."
H00042,Itahari-6,RCC,1460,4,3,18,6.7,1.5,0,1,Unfurnished,2022-09-29,2022,18394872,12599,Shohini Chowk,"Well-connected property in Itahari-6, 1460 sqft, 18 years old. Ideal for families."
H00043,Itahari-11,Duplex,1929,5,4,1,9.7,5.02,0,1,Unfurnished,2015-08-01,2015,13989060,7251,Shohini Chowk,"Well-connected property in Itahari-11, 1929 sqft, 1 years old. Ideal for families."
H00044,Itahari-12,Flat,1095,2,2,2,8.3,4.89,1,1,Unfurnished,2017-12-08,2017,23335062,21310,Bhairahawa Road,"Spacious Flat with 2 bedrooms and 2 bathrooms, nearby Bhairahawa Road."
